ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source,Source_Comment,Grammaticality_Judgement
gug_ex_12,gug,*Peteĩ omba’apógui ikane’õva kuña okaru kotýpe.,*peteĩ	o-mba’apo=gui	i-kane’õ-va	kuña	o-karu	koty=pe,one	3.ACT-work=from	3.INACT-tired-ADJLZ	woman	3.ACT-eat	room=in,A woman tired of work is eating in the room.,,,,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_13,gug,peteĩ kuña ohechava’ekue peteĩ arriéro(pe),peteĩ	kuña	o-h-echa-va’e-kue	peteĩ	arriéro(=pe),one	woman	3.ACT-POSSM.3-see-ADJLZ-POST	one	peasant(=in),a woman who saw a man,,"The marking of a human direct object with =pe indicates that this is a subject relative. In the absence of this marking, word order can clarify the intended interpretation. Noun phrases that come before the subordinate -va forms tend to be interpreted as subjects.",Estigarribia_2020[p. 265],,
gug_ex_14,gug,peteĩ kuña peteĩ arriéro ohechava’ekue,peteĩ	kuña	peteĩ	arriéro	o-h-echa-va’e-kue,one	woman	one	peasant	3.ACT-POSSM.3-see-ADJLZ-POST,a woman who(m) a man saw,,"Word order clarifies the interpretation of this example, i.e. that it is an object relative.",Estigarribia_2020[p. 265],,
gug_ex_15,gug,*Ko kuña ikane’õva.,*ko	kuña	i-kane’õ-va,PROX.SG	woman	3.INACT-tired-ADJLZ,This woman is tired.,,"Ungrammatical as a sentence, not as a noun phrase.",,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_16,gug,Ko kuña ikane’õ.,ko	kuña	i-kane’õ,PROX.SG	woman	3.INACT-tired,This woman is tired.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_17,gug,Pe kyse mesa’arigua ipotĩ.,pe	kyse	mesa=’ári=gua	i-potĩ,MED.SG	knife	table=upon=from	3.INACT-clean,The knife (that is) on the table is clean.,,,"Estigarribia_2020[p. 267, adapted]",,
gug_ex_18,gug,Pe mesa’arigua kyse ipotĩ.,pe	mesa=’ári=gua	kyse	i-potĩ,MED.SG	table=upon=from	knife	3.INACT-clean,The knife (that is) on the table is clean.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_19,gug,Ohecha peteĩ kóche avave’ỹre.,o-h-echa	peteĩ	kóche	avave=’ỹre,3.ACT-POSSM.3-see	one	car	nobody=without,S/he saw a car without passengers / anyone inside.,,,,"Dionisio Fleitas Lecoski, p.c.",
gug_ex_20,gug,*Ohecha peteĩ avave’ỹre kóche.,*o-h-echa	peteĩ	avave=’ỹre	kóche,3.ACT-POSSM.3-see	one	nobody=without	car,S/he saw a car without passengers / anyone inside.,,It is an open question if the impossibility of the prenominal placement of the PP in this example is related to the absence of =gua.,,"Dionisio Fleitas Lecoski, p.c.",*
gug_ex_21,gug,Jaháta ñandetávagotyo kavaju'ári.,ja-ha-ta	ñande-táva=gotyo	kavaju='ári,1PL.INCL.ACT-go-FUT	1PL.INCL.INACT-town=towards	horse=upon,We will go towards our town on horses.,,,Estigarribia_2020[p. 198],,
